HINT_NAME,DESCRIPTION
AGGR_THRU_JOIN,Prefer pushdown aggregation through join
CHECK_JOIN_CARDINALITY,Perform join cardinality information validation during query execution. This hint can alter plan shape as in order to make the join cardinality testable.
The validation may not find all join cardinality information fault but can be used as assistant tool. The primary responsibility for checking and setting correct join cardinality information is on the users.
CONSERVATIVE_CS_ANTI_JOIN_ESTIMATION,Use Conservative cs anti join estimation
CS_EXPR_JOIN,Prefer column engine expression join
CS_JOIN,Prefer column engine join
CS_JOIN_CYCLE_BREAK,Specify join edges at which a cyclic join should be broken up
CS_JOIN_FILTER_AFTER_REDUCTION,Apply filter on table after join reduction
CS_JOIN_FILTER_BEFORE_REDUCTION,Apply filter on table before join reduction
CS_JOIN_MATERIALIZATION_BIGGEST_TABLE_FIRST,Begin join materialization at largest table
CS_JOIN_MATERIALIZATION_CONCURRENCY,Set concurrency of join result materialization
CS_JOIN_MATERIALIZATION_SMALLEST_TABLE_FIRST,Begin join materialization at smallest table
CS_JOIN_POST_CHECK_SIZE_THRESHOLD,Set threshold for post-condition and distinct checks on intermedia results
CS_JOIN_REDUCTION,Specify table(s) at which join reduction should begin
CS_JOIN_REDUCTION_MULTICOLUMN_FIRST,Specify column which is evaluated first in join reduction
CS_JOIN_RESULT_MATERIALIZATION,Specify table at which join materialization should begin
CS_JOIN_SHRINK_SIZE_THRESHOLD,Set threshold for intermediate result shrinking
CS_OUTER_JOIN_WITH_FILTER,Prefer outer join with filter pushdown to column engine
CS_SEMI_JOIN,Prefer column engine semi join
CYCLIC_JOIN,Prefer cyclic join in single column search
DISJUNCTIVE_HASH_JOIN,Prefer row engine disjunctive hash join
DISJ_JOIN_INTO_UNION,Prefer split disjunctive join predicate into filters and make union all
DISTINCT_INTO_SEMI_JOIN,Prefer merge distinct with join
DOUBLE_JOIN_THRU_UNION_ALL,Prefer pushdown join through double union all
DOUBLE_PREAGGR_BEFORE_JOIN,Prefer pre-aggregation before join for the both children
ESX_INDEX_JOIN,Prefer to use ESX engine index join
ESX_JOIN,Prefer to use ESX engine join
ESX_PARTITION_HASH_JOIN_BUCKETS,Control number of buckets for partition hash join
EXHAUSTIVE_JOIN_ESTIMATION,Enable exhaustive join size estimation during plan enumeration. Please be aware that this can increase compilation time
FILTER_THRU_JOIN,Prefer pushdown filter through join
HASHED_RANGE_JOIN,Prefer row engine hashed range join
HASH_JOIN,Prefer row engine hash join
HEURISTIC_LIMIT_THRU_JOIN,Prefer heuristic pushdown limit through join
HEURISTIC_PRELIMIT_BEFORE_JOIN,Prefer heuristic pushdown prelimit before join
HEX_COLLECTION_SEARCH_SEMI_JOIN,Prefer semi join reduction on collection search
HEX_DISK_HASH_JOIN,Prefer HEX disk hash join if HEX hash join is chosen initially and the number of input records in its build side is estimated to be large enough (e.g. 10000)
HEX_DISK_NESTED_LOOP_JOIN,Prefer HEX disk nested loop join if HEX nested loop join is chosen initially and the number of input records in the smaller table is estimated to be large enough (e.g. 10000)
HEX_FILE_SEMI_JOIN,Prefer semi join pushdown to file data source
HEX_FILE_SEMI_JOIN_REDUCTION,Prefer semi join reduction pushdown to file data source
HEX_HASHED_RANGE_JOIN,Prefer HEX hashed range join
HEX_HASH_JOIN,Prefer HEX hash join
HEX_HASH_JOIN_WITH_REPARTITION,Prefer HEX hash join with repartition operator
HEX_INDEX_JOIN,Prefer HEX index join
HEX_INDEX_JOIN_WITH_REPARTITION,Prefer HEX index join with repartition operator
HEX_LIMIT_THRU_OUTER_JOIN,Prefer HEX limit thru outer join
HEX_MULTI_TABLE_SCAN_SEMI_JOIN,Prefer HEX table scan semi join
HEX_NESTED_LOOP_JOIN,Prefer HEX nested loop join
HEX_RANGE_JOIN,Prefer HEX range join
HEX_RS_INDEX_JOIN,Prefer HEX RS index join
HEX_TABLE_SCAN_SEMI_JOIN,Prefer HEX table scan semi join
HOST_PORT_JOIN_COLOCATION,Prefer host/port join thru union
INDEX_JOIN,Prefer row engine index join
JOIN_FILTER_REORDERING,Prefer join predicate reordering
JOIN_REMOVAL,Prefer unnecessary join removal
JOIN_REMOVAL_USING_CARDINALITY,Prefer join removal based on cardinality
JOIN_RULE,Prefer all available join rule or given rule passed as an argument
JOIN_SAMPLING,Prefer join selectivity sampling
JOIN_SIMPLIFICATION,Prefer join simplification
JOIN_SKEW_ESTIMATION,Prefer join skewness estimation
JOIN_THRU_AGGR,Prefer pushdown join through aggregation
JOIN_THRU_FILTER,Prefer pushdown join through filter
JOIN_THRU_JOIN,Prefer pushdown join through join
JOIN_THRU_UNION,Prefer pushdown join through union all
